Column1.timing,Column1.all_proto,y,Column1.udp_count,Column1.http_request_count,Column1.http_response_count,Column1.arp_count,Column1.icmp_count,Column1.modbus01_request_count,Column1.modbus02_request_count,Column1.modbus03_request_count,Column1.modbus04_request_count,Column1.modbus05_request_count,Column1.modbus06_request_count,Column1.modbus15_request_count,Column1.modbus16_request_count,Column1.modbus01_response_count,Column1.modbus02_response_count,Column1.modbus03_response_count,Column1.modbus04_response_count,Column1.modbus05_response_count,Column1.modbus06_response_count,Column1.modbus15_response_count,Column1.modbus16_response_count,Column1.device_id,anomaly_score,anomaly
300,6287,43,5805,1,1,250,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,132,11,115,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,561,19,520,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,1307,19,1240,1,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
1200,20004,16518,1771,0,0,1131,268,1201,1203,1201,0,0,0,0,0,1201,1201,1204,0,0,0,0,0,2,-1,Anomaly
600,9901,8157,888,0,0,565,130,601,601,601,0,0,0,0,0,601,601,602,0,0,0,0,0,2,-1,Anomaly
300,5132,4253,429,0,0,284,70,301,303,301,0,0,0,0,0,301,301,302,0,0,0,0,0,2,-1,Anomaly
300,6359,53,6069,1,1,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,98,11,84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,433,11,414,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,1190,19,1126,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,5137,4246,468,0,0,267,59,303,301,301,0,0,0,0,0,301,301,302,0,0,0,0,0,2,-1,Anomaly
600,12132,94,11449,2,2,199,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,7875,45,6725,1,1,926,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,115,10,101,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,438,10,418,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,1912,10,1401,1,1,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
600,18265,15686,918,0,0,1340,126,598,600,592,0,0,0,0,0,593,594,596,0,0,0,0,0,2,-1,Anomaly
300,13850,11369,464,0,0,1858,65,289,298,285,0,0,0,0,0,286,293,287,0,0,0,0,0,2,-1,Anomaly
60,5721,7,5683,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,2981,10,2923,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,15179,37,14493,1,1,491,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,5720,12,5665,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
2400,56271,46750,3579,0,0,4761,517,2374,2380,2365,0,0,0,0,0,2365,2374,2374,0,0,0,0,0,2,-1,Anomaly
5,170,11,156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,1259,11,1237,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
2400,66176,656,60709,8,8,3356,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,1255,11,1204,1,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
1200,42284,176,39714,4,4,1671,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,4728,18,4671,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,4962,4122,425,0,0,266,72,301,301,302,0,0,0,0,0,301,301,302,0,0,0,0,0,2,-1,Anomaly
600,30828,104,28970,2,2,1407,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,3481,6,3427,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,16027,51,15758,1,1,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,576,11,562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,2565,15,2537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
3600,75971,62983,5346,0,0,5890,799,3574,3580,3566,0,0,0,0,0,3565,3574,3578,0,0,0,0,0,2,-1,Anomaly
1200,28927,23854,1788,0,0,2672,264,1191,1198,1186,0,0,0,0,0,1185,1193,1191,0,0,0,0,0,2,-1,Anomaly
60,3921,31,3833,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
600,10688,8214,864,0,0,1327,128,594,600,595,0,0,0,0,0,593,600,596,0,0,0,0,0,2,-1,Anomaly
60,4163,4,4126,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,4935,4085,444,0,0,276,54,301,301,301,0,0,0,0,0,300,301,302,0,0,0,0,0,2,-1,Anomaly
60,3259,4,3214,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,17277,61,16995,1,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,311,9,301,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,4901,9,4866,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,713,9,695,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,3955,12,3892,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,4985,4090,456,0,0,288,67,301,300,301,0,0,0,0,0,301,301,302,0,0,0,0,0,2,-1,Anomaly
600,31345,96,30817,2,2,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,4300,7,4251,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,16830,47,16575,1,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,744,8,734,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,2636,10,2585,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,1886,10,1861,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
600,9773,8051,871,0,0,560,129,601,601,601,0,0,0,0,0,601,601,602,0,0,0,0,0,2,-1,Anomaly
60,3581,12,3518,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,5136,4313,399,0,0,271,62,302,302,301,0,0,0,0,0,301,301,301,0,0,0,0,0,2,-1,Anomaly
60,8063,4,8025,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,21562,48,21291,1,1,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,168,10,156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
20,629,10,611,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,2302,18,2238,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
3600,134612,850,128097,12,12,3463,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
1200,65883,202,64815,4,4,105,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,5315,0,5272,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,5531,4616,485,0,0,281,57,301,301,301,0,0,0,0,0,300,301,305,0,0,0,0,0,2,-1,Anomaly
600,37661,92,37140,2,2,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
60,4344,4,4303,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
300,16154,290,14773,1,1,904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
5,158,11,145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,Anomaly
